year,score,group,score_type,dataset
2019,50.7102714475367,Finfish,f,f_2
2020,50.71444253550093,Finfish,f,f_2
2021,50.68182499284532,Finfish,f,f_2
2022,50.6613458085664,Finfish,f,f_2
2023,50.66936428392359,Finfish,f,f_2
1950,55.272456250708665,Algae,f,f_2
1951,55.420434140147414,Algae,f,f_2
1952,55.871346133307725,Algae,f,f_2
1953,55.760682453903726,Algae,f,f_2
1954,55.83087602570287,Algae,f,f_2
1955,56.01442376967006,Algae,f,f_2
1956,56.09519121898319,Algae,f,f_2
1957,56.22752012370622,Algae,f,f_2
1958,55.944108420811574,Algae,f,f_2
1959,56.11458059414371,Algae,f,f_2
1960,56.15640210426112,Algae,f,f_2
1961,56.21220212264905,Algae,f,f_2
1962,56.2185676148535,Algae,f,f_2
1963,56.143328096710654,Algae,f,f_2
1964,56.12138467486195,Algae,f,f_2
1965,56.15702514476203,Algae,f,f_2
1966,55.94322829426114,Algae,f,f_2
1967,55.80920627263998,Algae,f,f_2
1968,55.58797891388768,Algae,f,f_2
1969,55.791385526246856,Algae,f,f_2
1970,55.73522329558683,Algae,f,f_2
1971,55.77132779439942,Algae,f,f_2
1972,55.67165003039908,Algae,f,f_2
1973,55.41918974676572,Algae,f,f_2
1974,55.169377879234254,Algae,f,f_2
1975,55.481834820386446,Algae,f,f_2
1976,55.354481782005884,Algae,f,f_2
1977,55.50753414950726,Algae,f,f_2
1978,55.68409367414862,Algae,f,f_2
1979,55.658479730303725,Algae,f,f_2
1980,55.59752763649593,Algae,f,f_2
1981,55.4113382638134,Algae,f,f_2
1982,55.46548656708046,Algae,f,f_2
1983,55.581795830846005,Algae,f,f_2
1984,55.592077040067906,Algae,f,f_2
1985,55.62475625974939,Algae,f,f_2
1986,55.44170728185751,Algae,f,f_2
1987,55.53190225196944,Algae,f,f_2
1988,55.632910022625154,Algae,f,f_2
1989,55.68807552959336,Algae,f,f_2
1990,55.60568907413488,Algae,f,f_2
1991,55.75679978975008,Algae,f,f_2
1992,55.77115593346784,Algae,f,f_2
1993,55.86285495943986,Algae,f,f_2
1994,55.9100231561681,Algae,f,f_2
1995,55.928155356211484,Algae,f,f_2
1996,55.994320208889455,Algae,f,f_2
1997,55.91686900861541,Algae,f,f_2
1998,56.08138440020355,Algae,f,f_2
1999,56.13724604654286,Algae,f,f_2
2000,56.138273217347205,Algae,f,f_2
2001,56.18770665077993,Algae,f,f_2
2002,56.157603679746494,Algae,f,f_2
2003,55.207413949228936,Algae,f,f_2
2004,55.000467841424644,Algae,f,f_2
2005,54.967587789435015,Algae,f,f_2
2006,55.180160864097765,Algae,f,f_2
2007,55.26910246396663,Algae,f,f_2
2008,55.251184167954605,Algae,f,f_2
2009,55.34740106026401,Algae,f,f_2
2010,55.3915097276014,Algae,f,f_2
2011,55.243120141139755,Algae,f,f_2
2012,55.10760533361196,Algae,f,f_2
2013,55.04306854860015,Algae,f,f_2
2014,55.075356506654835,Algae,f,f_2
2015,55.10727749127806,Algae,f,f_2
2016,55.13691590583769,Algae,f,f_2
2017,55.19765835226595,Algae,f,f_2
2018,55.35004481629611,Algae,f,f_2
2019,55.216786931564954,Algae,f,f_2
2020,55.15304332001863,Algae,f,f_2
2021,55.07381618382078,Algae,f,f_2
2022,54.894777166906124,Algae,f,f_2
2023,55.0178772894088,Algae,f,f_2
1950,45.47724477225,Crustacean,f,f_2
1951,45.59558238695745,Crustacean,f,f_2
1952,45.2751142253125,Crustacean,f,f_2
1953,45.384192997333336,Crustacean,f,f_2
1954,45.30747825657143,Crustacean,f,f_2
1955,45.384192997333336,Crustacean,f,f_2
1956,44.697846057632006,Crustacean,f,f_2
1957,44.825658946850574,Crustacean,f,f_2
1958,44.531364391663736,Crustacean,f,f_2
1959,44.53840156256774,Crustacean,f,f_2
1960,44.38153496698433,Crustacean,f,f_2
1961,44.07606322342045,Crustacean,f,f_2
1962,43.90951420343363,Crustacean,f,f_2
1963,43.58737041551049,Crustacean,f,f_2
1964,43.152103855731866,Crustacean,f,f_2
1965,42.529720869535055,Crustacean,f,f_2
1966,42.45877807571035,Crustacean,f,f_2
1967,42.13207409263612,Crustacean,f,f_2
1968,41.9553867195621,Crustacean,f,f_2
1969,42.2501115365815,Crustacean,f,f_2
1970,41.898632248983766,Crustacean,f,f_2
1971,41.67634152221188,Crustacean,f,f_2
1972,41.958886096114384,Crustacean,f,f_2
1973,42.18378519349823,Crustacean,f,f_2
1974,42.789918842623635,Crustacean,f,f_2
1975,42.808597796742035,Crustacean,f,f_2
1976,42.78963488624419,Crustacean,f,f_2
1977,42.71917069058661,Crustacean,f,f_2
1978,43.210154911957545,Crustacean,f,f_2
1979,42.670119292077665,Crustacean,f,f_2
1980,43.5601259293079,Crustacean,f,f_2
1981,43.293691313506685,Crustacean,f,f_2
1982,43.746859774757134,Crustacean,f,f_2
1983,44.32511860216271,Crustacean,f,f_2
1984,44.32897770835193,Crustacean,f,f_2
1985,43.96148194435132,Crustacean,f,f_2
1986,43.88972961143126,Crustacean,f,f_2
1987,44.38187337332236,Crustacean,f,f_2
1988,44.73721189529613,Crustacean,f,f_2
1989,44.519304358626435,Crustacean,f,f_2
1990,44.55354949164746,Crustacean,f,f_2
1991,44.77010135657417,Crustacean,f,f_2
1992,44.766768306288505,Crustacean,f,f_2
1993,44.43849388147182,Crustacean,f,f_2
1994,44.460418194560894,Crustacean,f,f_2
1995,44.560732839353754,Crustacean,f,f_2
1996,44.684267747144936,Crustacean,f,f_2
1997,44.99267377697922,Crustacean,f,f_2
1998,45.10736939475614,Crustacean,f,f_2
1999,44.93511940262094,Crustacean,f,f_2
2000,45.33213448203941,Crustacean,f,f_2
2001,45.70544676756145,Crustacean,f,f_2
2002,46.33553512611512,Crustacean,f,f_2
2003,47.490439277798835,Crustacean,f,f_2
2004,47.879062402725715,Crustacean,f,f_2
2005,48.17934589228336,Crustacean,f,f_2
2006,48.42992957067707,Crustacean,f,f_2
2007,48.20011717690557,Crustacean,f,f_2
2008,47.817441880086285,Crustacean,f,f_2
