ASFIS species Name En,Continent Name En,Country Name En,Inland/Marine areas Name En,Unit Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
Coho(=Silver) salmon,Asia,Japan,Marine areas,Tonnes - live weight,18500,17333,15938,18053,15648,13208,13937,12802,12215,9728,116,14766,15770,12809,13567,12046,12729,9607,9208,8023,11616,13107,11148,8721,9927,8401,13524,22824,21148,25519,25730,23608,19849,16496,12177,7533,6990,5049,2760,2122,1150,1855,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coho(=Silver) salmon,Europe,Denmark,Marine areas,Tonnes - live weight,,,,,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coho(=Silver) salmon,Europe,France,Marine areas,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,80,85,85,80,80,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Africa,Algeria,Marine areas,Tonnes - live weight,378.846,311.5,56.5,126.04,445.715,69.7,93.7,246.118,0.195,202.037,85.313,50.499,14.693,1.34,1,0,3,3,3,0,0,0,0,0,10,10,10,5,6,3,4,2,5,7,6,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Africa,Egypt,Marine areas,Tonnes - live weight,32893,32187,29957,24562,30390,24279,14124,14867,11942,13498,17414,16246,5381,4383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Africa,Libya,Marine areas,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,50,50,50,170,170,170,170,100,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Africa,Mauritius,Marine areas,Tonnes - live weight,,12,83,35.5,44.2,293,183,135,98,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Africa,Morocco,Marine areas,Tonnes - live weight,243.612,204,169.196,120.535,112.7,134,181,167,155,156.9,64,1.8,40,29,79,36,845,370,389,325,202,250,365,563,568,407,533,332,193,119,96,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Africa,Tunisia,Marine areas,Tonnes - live weight,5100.661,4997,3331,2288,3448,2734,2802,1869,1969,1999,2832,1466,1438,788,793,492,633,466,457,649,461,202,254,551,565,210,230,571,419,161,305,283,300,316,40,30,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Americas,Dominican Republic,Marine areas,Tonnes - live weight,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0,0,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
